Id,Project_Id,Author_Id,Title,Year,Authors
1,1,1,"MIMIC-III, a freely accessible critical care database",2016,Alistair EW Johnson and Tom J Pollard and Lu Shen and Li-wei H Lehman and Mengling Feng and Mohammad Ghassemi and Benjamin Moody and Peter Szolovits and Leo Anthony Celi and Roger G Mark
2,1,2,"The eICU Collaborative Research Database, a freely available multi-center database for critical care research",2018,Tom J Pollard and Alistair EW Johnson and Jesse D Raffa and Leo A Celi and Roger G Mark and Omar Badawi
3,1,3,AF classification from a short single lead ECG recording: The PhysioNet/computing in cardiology challenge 2017,2017,Gari D Clifford and Chengyu Liu and Benjamin Moody and H Lehman Li-wei and Ikaro Silva and Qiao Li and AE Johnson and Roger G Mark
4,1,4,An open access database for the evaluation of heart sound algorithms,2016,Chengyu Liu and David Springer and Qiao Li and Benjamin Moody and Ricardo Abad Juan and Francisco J Chorro and Francisco Castells and José Millet Roig and Ikaro Silva and Alistair EW Johnson and Zeeshan Syed and Samuel E Schmidt and Chrysa D Papadaniil and Leontios Hadjileontiadis and Hosein Naseri and Ali Moukadem and Alain Dieterlen and Christian Brandt and Hong Tang and Maryam Samieinasab and Mohammad Reza Samieinasab and Reza Sameni and Roger G Mark and Gari D Clifford
5,1,5,"MIMIC-CXR-JPG, a large publicly available database of labeled chest radiographs",2019,Alistair EW Johnson and Tom J Pollard and Nathaniel R Greenbaum and Matthew P Lungren and Chih-ying Deng and Yifan Peng and Zhiyong Lu and Roger G Mark and Seth J Berkowitz and Steven Horng
6,1,6,"MIMIC-CXR, a de-identified publicly available database of chest radiographs with free-text reports",2019,Alistair EW Johnson and Tom J Pollard and Seth J Berkowitz and Nathaniel R Greenbaum and Matthew P Lungren and Chih-ying Deng and Roger G Mark and Steven Horng
7,1,7,Mimic-iv,2020,Alistair Johnson and Lucas Bulgarelli and Tom Pollard and Steven Horng and Leo Anthony Celi and Roger Mark
8,1,8,Machine learning and decision support in critical care,2016,Alistair EW Johnson and Mohammad M Ghassemi and Shamim Nemati and Katherine E Niehaus and David A Clifton and Gari D Clifford
9,1,9,Mechanical power of ventilation is associated with mortality in critically ill patients: an analysis of patients in two observational cohorts,2018,Ary Serpa Neto and Rodrigo Octavio Deliberato and Alistair EW Johnson and Lieuwe D Bos and Pedro Amorim and Silvio Moreto Pereira and Denise Carnieli Cazati and Ricardo L Cordioli and Thiago Domingos Correa and Tom J Pollard and Guilherme PP Schettino and Karina T Timenetsky and Leo A Celi and Paolo Pelosi and Marcelo Gama de Abreu and Marcus J Schultz and PROVE Network Investigators
10,1,10,The MIMIC Code Repository: enabling reproducibility in critical care research,2018,Alistair EW Johnson and David J Stone and Leo A Celi and Tom J Pollard
11,1,11,Breathing rate estimation from the electrocardiogram and photoplethysmogram: A review,2017,Peter H Charlton and Drew A Birrenkott and Timothy Bonnici and Marco AF Pimentel and Alistair EW Johnson and Jordi Alastruey and Lionel Tarassenko and Peter J Watkinson and Richard Beale and David A Clifton
12,1,12,Toward a robust estimation of respiratory rate from pulse oximeters,2016,Marco AF Pimentel and Alistair EW Johnson and Peter H Charlton and Drew Birrenkott and Peter J Watkinson and Lionel Tarassenko and David A Clifton
13,1,13,A new severity of illness scale using a subset of acute physiology and chronic health evaluation data elements shows comparable predictive accuracy,2013,Alistair EW Johnson and Andrew A Kramer and Gari D Clifford
14,1,14,A comparison of single channel fetal ECG extraction methods,2014,Joachim Behar and Alistair Johnson and Gari D Clifford and Julien Oster
15,1,15,Reproducibility in critical care: a mortality prediction case study,2017,Alistair EW Johnson and Tom J Pollard and Roger G Mark
16,1,16,A comparative analysis of sepsis identification methods in an electronic database,2018,Alistair EW Johnson and Jerome Aboab and Jesse D Raffa and Tom J Pollard and Rodrigo O Deliberato and Leo Anthony Celi and David J Stone
17,1,17,Semisupervised ECG ventricular beat classification with novelty detection based on switching Kalman filters,2015,Julien Oster and Joachim Behar and Omid Sayadi and Shamim Nemati and Alistair EW Johnson and Gari D Clifford
18,1,18,MIMIC-III clinical database (version 1.4),2016,Alistair Johnson and Tom Pollard and Roger Mark
19,1,19,"MIMIC-III, a freely accessible critical care database Sci",2016,AE Johnson and Tom J Pollard and Lu Shen and L-w H Lehman and Mengling Feng and Mohammad Ghassemi and Benjamin Moody and Peter Szolovits and L Anthony Celi and Roger G Mark
20,1,20,"Complex inter-relationship of body mass index, gender and serum creatinine on survival: exploring the obesity paradox in melanoma patients treated with checkpoint inhibition",2019,Girish S Naik and Sushrut S Waikar and Alistair EW Johnson and Elizabeth I Buchbinder and Rizwan Haq and F Stephen Hodi and Jonathan D Schoenfeld and Patrick A Ott
21,1,21,Clinical intervention prediction and understanding using deep networks,2017,Harini Suresh and Nathan Hunt and Alistair Johnson and Leo Anthony Celi and Peter Szolovits and Marzyeh Ghassemi
22,1,22,Clinical Intervention Prediction and Understanding with Deep Neural Networks,2017,Harini Suresh and Nathan Hunt and Alistair E W Johnson and Leo Anthony Celi and Peter Szolovits and Marzyeh Ghassemi
23,1,23,Multimodal heart beat detection using signal quality indices,2015,Alistair EW Johnson and Joachim Behar and Fernando Andreotti and Gari D Clifford and Julien Oster
24,1,24,tableone: An open source Python package for producing summary statistics for research papers,2018,Tom J Pollard and Alistair EW Johnson and Jesse D Raffa and Roger G Mark
25,1,25,Real-time mortality prediction in the Intensive Care Unit,2017,Alistair EW Johnson and Roger G Mark
26,1,26,Making big data useful for health care: a summary of the inaugural mit critical data conference,2014,Omar Badawi and Thomas Brennan and Leo Anthony Celi and Mengling Feng and Marzyeh Ghassemi and Andrea Ippolito and Alistair Johnson and Roger G Mark and Louis Mayaud and George Moody and Christopher Moses and Tristan Naumann and Vipan Nikore and Marco Pimentel and Tom J Pollard and Mauro Santos and David J Stone and Andrew Zimolzak and MIT Critical Data Conference 2014 Organizing Committee
